1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,3,3,1,1,1,2,2,2,1,2,3,1,1,3,0,0,1,5,2,1,3,4,6,4,3,6,3,7,8,3,9,12,6,13,10,15,19,14,17,14,20,18,8,18,14,16,19,16,18,23,25,24,21,24,19,23,19,26,28,24,32,34,42,28,46,42,52,44,36,49,48,56,46,44,42,43,41,41,57,42,40,41,34,36,28,48,34,35,46,29,38,42,48,40,49,43,47,45,42,47,30,44,20,18,16,12,11,8,12,11,20,15,16,10,6,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,3,1,0,0,4,2,1,2,0,2,2,1,1,1,0,1,1,2,3,0,5,4,6,3,10,6,4,5,7,5,5,6,9,11,11,12,9,11,18,18,11,10,16,12,17,14,18,12,17,23,22,14,17,23,25,22,35,34,34,24,19,31,40,38,34,38,39,45,43,35,42,43,53,40,35,59,43,55,39,52,49,42,35,41,38,30,43,29,43,31,38,31,48,30,35,38,36,47,56,62,43,52,40,26,26,15,11,11,12,8,8,12,16,10,20,9,9,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,2,0,1,1,1,3,2,3,1,4,2,0,5,2,2,1,1,2,2,2,1,5,2,1,5,2,5,4,5,6,16,11,11,10,14,16,15,18,16,19,11,10,14,18,20,17,6,19,17,21,16,19,34,27,25,30,24,29,26,27,30,42,31,42,33,31,40,41,48,38,40,42,50,54,53,48,34,31,49,37,39,38,33,44,36,38,32,41,40,47,42,42,38,48,44,51,44,38,59,46,48,34,23,19,13,11,13,9,12,9,5,12,21,13,14,6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,1,3,0,1,0,1,1,2,2,0,5,5,1,1,2,3,2,0,6,2,4,3,6,5,2,8,10,6,5,4,8,13,8,10,15,18,16,18,13,21,19,10,14,10,13,11,18,20,18,22,23,21,24,32,29,30,26,32,35,32,39,31,30,30,43,31,41,36,42,58,56,44,36,39,35,59,48,38,44,39,37,37,41,39,37,34,40,37,54,40,48,44,45,43,59,39,46,45,43,26,31,30,17,10,17,11,13,15,9,13,17,10,9,9,6,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,1,0,2,1,3,0,3,0,1,0,1,0,1,4,2,1,3,1,2,2,1,1,2,6,2,4,3,7,5,5,7,4,5,12,12,13,16,15,21,18,20,19,16,11,16,6,10,13,13,13,9,28,27,21,16,28,25,22,18,31,35,29,18,37,32,45,41,39,47,38,40,50,58,47,32,52,47,39,42,29,36,50,43,38,38,39,49,43,42,33,40,39,46,45,34,51,44,47,33,43,49,44,49,27,25,24,9,17,13,14,6,13,12,13,11,12,12,10,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,2,4,3,0,1,1,1,2,2,3,0,1,1,1,2,2,1,5,4,3,2,3,2,5,2,5,1,5,5,7,6,10,9,14,13,20,14,14,14,14,10,14,13,18,11,21,11,24,12,22,15,21,26,24,20,37,32,34,28,24,24,41,46,40,35,41,36,36,48,40,44,52,39,44,50,36,44,46,29,44,36,48,40,33,47,37,45,46,34,44,35,35,49,30,46,36,50,46,46,39,51,37,31,25,18,14,10,8,16,7,10,23,11,10,6,7,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,5,2,1,1,2,1,1,1,1,0,1,1,1,1,1,1,4,2,1,1,2,3,0,3,4,2,3,3,9,6,7,4,6,8,10,10,12,12,10,11,17,23,13,12,10,9,13,21,14,16,13,13,15,24,17,15,24,23,35,26,28,30,32,41,35,34,48,34,45,39,42,38,30,47,43,53,48,42,46,44,41,43,41,38,35,38,41,40,46,30,42,39,45,44,36,49,46,51,43,47,33,44,44,51,34,27,26,13,13,12,13,10,7,10,6,17,21,11,6,6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,1,1,0,2,0,2,2,1,1,2,1,2,1,2,2,3,0,0,4,1,1,0,4,2,5,6,4,0,3,5,5,6,5,3,10,10,12,6,9,11,15,14,18,21,15,22,9,18,10,15,13,15,15,16,20,20,20,15,25,26,26,35,33,35,35,28,42,35,37,40,34,45,33,45,34,33,49,51,46,51,42,46,37,38,37,54,31,39,35,41,34,39,39,44,29,38,45,37,38,41,47,48,48,51,44,39,39,35,30,11,10,10,12,11,8,11,17,17,11,9,7,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,1,3,0,0,1,3,4,2,1,0,1,3,0,1,1,2,3,3,5,2,1,3,1,3,4,0,2,8,4,8,18,9,10,9,13,14,20,13,7,17,16,16,10,14,16,18,14,15,14,18,15,29,11,31,30,30,32,31,40,26,31,41,29,34,47,26,48,38,37,45,40,39,38,59,49,44,41,52,40,38,51,39,46,37,49,37,33,39,32,45,40,39,48,50,33,44,35,50,50,38,36,38,25,16,14,17,17,12,9,9,12,10,20,10,9,10,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,1,2,0,0,1,1,3,3,2,0,2,2,3,2,1,1,5,1,3,4,4,7,3,3,4,7,4,4,5,10,7,9,11,10,11,20,21,14,17,13,16,11,15,13,23,20,13,19,16,13,20,20,26,24,22,31,45,30,27,31,38,32,40,38,42,40,47,48,39,38,51,49,41,44,38,49,52,47,35,33,34,34,44,45,40,47,30,28,41,41,39,39,34,36,49,34,60,54,45,56,38,17,17,16,12,14,8,11,6,11,19,14,13,11,7,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
