 ,Area,X,Y,Perim.,BX,BY,Width,Height,Circ.,Feret,FeretX,FeretY,FeretAngle,MinFeret,AR,Round,Solidity,,,Al At%,Cu At%,Mg At%,Fe At%,Mn At%,Si At%,O At%,,Type
30,13,"728,346","82,038","12,728",726,80,5,4,"1,000","5,385",726,81,"158,199","4,000","1,416",0.706,0.812,,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,,#N/A
31,19,"323,342","83,289","15,314",321,81,5,5,"1,000","6,403",321,81,"141,340","4,919","1,260",0.794,0.864,,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,,#N/A
32,71,"1,646,627","91,415","34,042",1643,85,8,12,0.770,"13,038",1643,85,"122,471","8,000","1,488",0.672,0.887,,,72.06279372,17.36826317,0.479952005,5.079492051,2.679732027,0.499950005,1.829817018,,Secondary
33,31,"210,210","93,629","19,556",207,90,6,7,"1,000","7,616",209,90,"113,199","6,000","1,248",0.801,0.886,,,58.93893894,21.06106106,18.7987988,0,0,0,1.201201201,,S-phase
34,13,"724,962","92,346","12,485",723,90,4,4,"1,000","5,000",724,90,"126,870","4,000","1,148",0.871,0.897,,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,,#N/A
35,51,"974,578","95,794","31,213",971,90,7,11,0.658,"11,705",973,101,"70,017","7,000","1,777",0.563,0.810,,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,,#N/A
36,69,"1,036,514","95,978","31,213",1032,91,9,11,0.890,"12,083",1034,102,"65,556","8,944","1,283",0.780,0.890,,,67.53675368,29.8829883,0.96009601,0,0,0.170017002,1.450145015,,Theta
37,52,"376,904","98,385","25,799",373,94,8,9,0.982,"9,487",375,94,"108,435","7,778","1,165",0.859,0.897,,,80.82424727,16.80504151,1.080324097,0,0.270081024,0,1.020306092,,Unknown
38,65,"709,146","100,654","31,556",706,94,6,13,0.820,"13,153",709,94,"98,746","6,000","2,068",0.484,0.929,,,58.12,20.92,18.77,0,0,0.38,1.81,,S-phase
39,10,"282,000","96,700","10,485",280,95,4,3,"1,000","4,472",280,96,"153,435","3,000","1,384",0.723,0.909,,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,,#N/A
40,52,"363,000","99,404","28,627",358,95,11,8,0.797,"11,705",358,97,"160,017","6,688","1,910",0.524,0.839,,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,,#N/A
41,79,"1,654,715","109,120","35,456",1649,103,12,11,0.790,"15,000",1649,104,"143,130","8,321","2,106",0.475,0.849,,,70.0470047,18.32183218,0.520052005,5.640564056,1.800180018,0.460046005,3.210321032,,Secondary
42,157,"1,019,513","115,691","46,042",1012,109,14,14,0.931,"15,811",1013,111,"145,305","14,000","1,043",0.959,0.932,,,54.85,22.74,20.03,0.46,0.13,0.34,1.45,,S-phase
43,14,"1,291,000","110,786","12,485",1289,109,4,4,"1,000","5,000",1289,109,"126,870","4,000","1,020",0.981,0.933,,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,,#N/A
44,1396,"1,065,101","139,321","226,149",1044,112,47,58,0.343,"66,573",1053,169,"57,265","34,916","1,904",0.525,0.788,,,71.9023928,6.420279555,0.734423122,9.263207771,4.240701256,5.034352049,2.404643449,,Secondary
45,102,"376,196","119,245","38,385",371,113,10,13,0.870,"14,318",373,113,"114,775","10,000","1,388",0.720,0.915,,,64.08649711,32.90330507,0.884629561,0,0.110578695,0.466887824,1.548101732,,Theta
46,67,"1,207,978","119,276","34,284",1202,114,12,11,0.716,"14,422",1202,123,"33,690","6,872","2,394",0.418,0.838,,,93.05503322,2.030838661,1.479252852,0,0.075216247,0.45129748,2.908361539,,Unknown
47,19,"1,603,447","120,868","15,314",1601,118,5,5,"1,000","6,403",1602,118,"128,660","4,919","1,344",0.744,0.884,,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,,#N/A
48,16,"246,750","123,875","13,899",244,122,5,4,"1,000","5,657",245,126,"45,000","4,000","1,150",0.869,0.889,,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,,#N/A
49,26,"1,756,538","131,231","18,728",1754,128,5,7,0.932,"7,810",1754,134,"50,194","5,000","1,534",0.652,0.881,,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,,#N/A
50,44,"1,591,932","154,364","25,799",1587,151,10,7,0.831,"10,817",1587,157,"33,690","6,364","1,824",0.548,0.863,,,74.87787005,20.27357108,1.404494382,0.183194919,0,0,3.260869565,,Unknown
51,227,"873,584","159,544","74,912",861,152,28,16,0.508,"28,071",861,161,"4,086","14,279","2,166",0.462,0.757,,,58.29417058,21.65783422,18.49815018,0,0,0,1.549845015,,S-phase
52,452,"1,167,821","167,617","96,912",1155,153,22,33,0.605,"34,438",1157,155,"115,821","20,499","1,977",0.506,0.820,,,68.6,11.61,0.27,9.41,4.44,3.04,2.63,,Secondary
53,10,"398,700","165,000","10,485",397,163,3,4,"1,000","4,472",398,163,"116,565","3,000","1,327",0.753,0.909,,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,,#N/A
54,527,"1,449,921","185,485","106,468",1439,166,23,36,0.584,"36,674",1442,202,"78,996","22,754","1,733",0.577,0.853,,,67.86678668,20.57205721,0.320032003,7.770777078,2.080208021,0.560056006,0.830083008,,Secondary
55,31,"608,113","172,855","21,314",606,169,5,8,0.858,"8,944",606,177,"63,435","5,000","1,810",0.552,0.899,,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,,#N/A
56,19,"394,921","172,974","16,728",393,170,4,6,0.853,"6,708",393,170,"116,565","4,000","1,627",0.615,0.864,,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,,#N/A
57,321,"1,719,491","191,780","80,083",1709,181,21,22,0.629,"26,907",1710,181,"131,987","19,974","1,381",0.724,0.850,,,71.04499274,14.6710208,0,7.462506047,3.43492985,1.850507983,1.536042574,,Secondary
58,12,"888,000","188,000","11,314",886,186,4,4,"1,000","4,472",887,186,"116,565","4,000","1,000","1,000",0.857,,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,,#N/A
59,23,"1,003,457","191,891","16,728",1001,189,5,6,"1,000","6,708",1002,195,"63,435","5,000","1,311",0.763,0.885,,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,,#N/A
60,16,"1,172,500","198,000","13,314",1170,196,5,4,"1,000","5,385",1170,197,"158,199","4,000","1,209",0.827,0.889,,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,,#N/A
61,12,"1,151,833","201,000","11,899",1150,199,4,4,"1,000","5,000",1150,203,"36,870","4,000","1,281",0.781,0.857,,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,,#N/A
62,19,"967,816","203,342","16,142",965,201,6,5,0.916,"7,211",965,201,"146,310","4,438","1,844",0.542,0.809,,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,,#N/A
63,10,"894,000","206,000","11,314",892,204,4,4,0.982,"4,472",893,204,"116,565","3,578","1,316",0.760,0.769,,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,,#N/A
64,23,"572,109","208,239","17,314",570,205,5,6,0.964,"6,708",571,205,"116,565","5,000","1,322",0.756,0.885,,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,,#N/A
65,22,"559,773","210,318","18,728",556,208,7,5,0.788,"7,616",556,211,"23,199","4,743","1,778",0.563,0.815,,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,,#N/A
66,59,"1,556,602","213,347","30,385",1552,209,10,8,0.803,"10,630",1553,217,"41,186","8,000","1,277",0.783,0.868,,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,,#N/A
67,15,"1,120,300","212,633","14,142",1118,210,5,5,0.942,"5,831",1118,214,"30,964","4,243","1,330",0.752,0.789,,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,,#N/A
68,14,"1,157,786","212,857","13,899",1156,210,4,5,0.911,"6,403",1156,210,"128,660","4,000","1,678",0.596,0.848,,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,,#N/A
69,13,"458,500","225,500","12,485",456,224,5,3,"1,000","5,831",456,224,"149,036","3,000","1,735",0.576,0.929,,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,,#N/A
70,79,"1,272,551","236,741","34,627",1268,230,9,13,0.828,"14,318",1270,230,"114,775","8,050","1,938",0.516,0.888,,,84.65375935,8.575840361,1.330324267,2.26867799,0.700795819,0,2.470602209,,Secondary
71,21,"1,351,786","232,929","16,485",1350,230,4,6,0.971,"6,708",1350,230,"116,565","4,000","1,548",0.646,0.933,,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,,#N/A
72,150,"660,287","237,187","52,284",650,231,18,12,0.690,"18,974",650,236,"161,565","12,000","1,784",0.561,0.850,,,64.86264381,31.3336464,1.267903264,0.270016436,0,0,2.265790092,,Theta
73,114,"598,009","240,921","43,698",591,234,14,14,0.750,"17,804",593,234,"128,157","9,545","2,076",0.482,0.860,,,50.55583375,23.51527291,22.83425138,0,0.220330496,0,2.874311467,,S-phase
74,24,"705,167","241,958","18,142",702,239,6,6,0.916,"7,211",703,239,"123,690","4,919","1,521",0.658,0.842,,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,,#N/A
75,99,"122,449","249,116","48,527",117,242,11,17,0.528,"18,385",118,259,"67,620","9,870","2,144",0.466,0.759,,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,,#N/A
76,15,"1,170,767","245,567","13,314",1169,243,4,5,"1,000","5,831",1169,243,"120,964","4,000","1,435",0.697,0.882,,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,,#N/A
77,125,"135,844","259,780","43,213",131,251,10,16,0.841,"16,492",135,251,"104,036","10,000","1,619",0.618,0.919,,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,,#N/A
78,31,"1,456,048","254,661","20,142",1453,252,7,6,0.960,"8,062",1453,257,"29,745","6,000","1,314",0.761,0.886,,,83.13650921,7.335868695,5.584467574,0,0,0,3.943154524,,Unknown
79,75,"1,514,127","259,753","31,799",1510,254,9,11,0.932,"12,083",1512,254,"114,444","9,000","1,302",0.768,0.898,,,69.22461231,13.92696348,12.65632816,0,0.250125063,0,3.941970985,,S-phase
80,25,"304,700","258,620","18,142",301,256,7,5,0.954,"7,280",301,258,"164,055","5,000","1,313",0.761,0.877,,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,,#N/A
81,33,"1,006,015","262,682","20,728",1002,260,7,6,0.965,"8,062",1002,261,"150,255","6,000","1,172",0.853,0.917,,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,,#N/A
82,258,"315,132","273,628","61,698",305,264,19,18,0.852,"22,672",306,281,"41,424","17,859","1,347",0.742,0.915,,,53.91054772,23.96555848,20.54532409,0.191341784,0,0.143506338,1.243721598,,S-phase
83,29,"384,776","266,914","18,728",382,264,6,6,"1,000","7,211",383,270,"56,310","6,000","1,076",0.929,0.906,,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,,#N/A
