11,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,3,0,0,0,1,1,0,2,3,3,3,1,4,3,5,3,7,10,8,11,11,14,17,9,11,11,11,10,11,8,3,11,13,12,11,4,7,6,14,13,18,13,13,13,11,16,11,20,12,13,8,15,8,8,14,8,12,9,10,12,12,18,14,13,20,16,16,26,21,28,17,14,6,8,7,10,7,10,10,8,12,8,17,14,8,21,11,8,17,14,14,11,12,8,11,8,16,13,17,14,14,13,11,5,7,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,1,0,2,0,1,1,1,2,4,1,5,2,10,7,8,9,6,8,12,19,11,9,14,10,8,16,12,7,8,9,6,12,7,9,13,6,10,10,19,7,10,12,15,16,10,10,16,7,10,17,14,16,12,13,9,7,7,18,15,10,16,14,17,25,14,15,23,14,18,14,12,12,13,2,11,12,13,10,8,11,6,14,12,19,10,16,13,12,11,16,10,13,9,14,14,11,10,12,10,10,11,10,8,8,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,2,0,0,1,0,0,0,1,1,2,3,1,2,2,4,5,7,7,7,7,11,13,8,8,13,8,14,9,11,9,5,10,12,15,5,8,14,11,7,10,11,13,11,9,15,8,11,22,12,9,10,15,13,14,6,16,12,8,11,16,15,13,11,19,15,10,22,17,20,19,19,10,17,10,19,11,10,10,15,8,6,14,13,10,14,12,16,12,17,11,11,15,16,5,10,7,14,14,9,12,9,17,16,5,14,6,8,3,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,1,0,0,2,2,1,3,4,6,4,5,4,7,4,7,8,9,17,13,16,15,13,10,8,8,8,6,7,8,12,10,10,9,17,12,14,16,7,15,10,13,7,7,9,12,16,11,10,14,11,6,15,10,13,7,16,12,11,14,20,15,11,20,21,21,27,18,20,12,10,8,15,4,9,7,12,7,13,7,7,14,15,19,9,18,19,8,10,12,13,13,11,13,9,11,11,9,16,9,15,6,10,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,3,0,1,1,1,0,2,4,2,2,3,5,3,5,7,9,5,12,16,9,13,18,9,11,13,7,10,7,6,9,9,10,9,10,10,14,11,19,10,11,10,9,14,12,11,10,15,11,11,9,11,12,11,15,17,8,16,12,18,9,18,14,24,25,16,17,16,23,15,9,10,11,12,6,13,9,9,13,10,15,9,14,9,18,15,14,19,9,8,10,18,10,11,10,15,16,13,10,9,14,6,7,2,1,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,2,0,1,0,2,2,3,2,4,1,4,5,5,6,4,12,7,9,10,11,12,18,9,12,7,7,13,9,12,5,9,11,19,22,12,8,3,7,11,13,13,12,9,9,10,6,14,19,8,16,18,10,12,6,13,10,12,10,13,27,15,20,19,26,22,12,16,18,8,11,13,6,11,13,9,9,10,18,14,9,10,17,10,15,8,15,12,13,15,11,14,7,19,7,13,10,22,19,13,3,3,3,1,6,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,1,1,2,2,2,7,5,3,8,4,7,7,7,10,13,13,17,6,11,12,8,13,9,8,10,9,5,7,8,7,16,9,17,14,16,14,11,8,15,9,14,14,9,10,14,10,15,19,15,10,9,8,8,12,8,18,13,23,23,17,20,20,17,23,18,12,15,7,11,7,11,8,6,6,14,11,14,13,17,13,14,14,11,19,17,4,7,17,10,7,12,12,17,5,14,13,11,4,8,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,2,0,2,1,2,3,4,2,5,4,5,5,5,5,12,8,14,15,13,12,12,14,10,12,8,3,11,9,5,10,4,13,12,13,14,12,16,10,10,16,13,11,12,10,20,8,13,13,9,13,8,9,14,13,13,8,16,16,20,16,27,25,25,21,16,14,10,7,10,13,10,7,13,12,7,9,14,6,11,15,13,11,16,15,18,7,13,8,14,10,11,11,16,11,10,13,9,9,9,8,4,3,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,1,0,1,0,1,1,4,1,2,4,4,2,4,6,2,7,4,5,13,10,4,9,11,10,12,13,12,14,9,7,13,13,7,8,14,13,9,14,14,10,3,13,11,16,9,17,5,10,13,10,13,9,15,12,11,11,8,16,7,17,16,12,10,17,18,22,23,16,19,24,20,9,8,12,11,12,8,12,9,7,7,13,10,9,13,11,20,15,11,13,13,15,12,14,12,11,10,8,9,14,12,12,14,5,9,1,8,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,2,0,1,1,0,1,3,0,2,5,3,1,6,1,3,8,9,10,7,14,9,9,8,11,16,12,11,8,6,8,9,12,15,12,7,12,15,13,5,9,13,9,11,14,7,12,13,12,15,13,14,13,11,15,6,11,10,11,14,10,14,10,23,17,19,19,26,15,15,16,17,16,11,7,12,2,13,8,10,18,9,9,5,14,12,13,12,18,12,20,11,12,11,15,10,8,13,13,11,12,14,10,12,9,10,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
